수집일자,구분,본부명,지사명,저수율(%),변화율(%),평년대비(%),관심(개소),주의(개소),경계(개소),심각(개소),총개소,평년저수량(톤),현재저수량(톤),부족저수량(톤),총유역면적(m²),필요강수량(mm),3일예상강수량(mm),예상보충수량(톤),예상저수량(3일후)(톤),예상저수율(3일후)(%),예상평년대비(3일후)(%),해갈상태,예상강수량(1주)(mm),예상보충수량(1주)(톤),예상저수량(1주후)(톤),예상저수율(1주후)(%),예상평년대비(1주후)(%),해갈상태(1주)
2026-08-06,전국,전국,-,50.5,-1.3,74.5,1207,210,185,269,1871,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,본부,경기,-,66.5,-1.6,91.1,95,2,0,0,97,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경기,여주.이천,68.8,-1.5,92,6,0,0,0,6,4698591,4322704,375887,7853750,80,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경기,양평.광주.서울,66.6,-0.9,83.3,8,0,0,0,8,4684706,3902360,782346,7324250,178,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경기,화성.수원,65.2,-1,84.5,20,0,0,0,20,15459499,13063276,2396223,25044625,159,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경기,연천.포천.가평,76.7,-1,94,11,0,0,0,11,8042321,7559782,482539,12320375,65,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경기,파주,73,-1.3,93.1,11,1,0,0,12,10955959,10199998,755961,17465750,72,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경기,강화.옹진,69.5,-1.8,95.9,17,0,0,0,17,21207356,20337855,869501,36578875,40,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경기,김포,80.4,0.1,102.1,1,0,0,0,1,58272,59496,0,92500,0,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경기,평택,63.1,-1.8,89.3,5,0,0,0,5,24158891,21573890,2585001,42737500,101,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경기,안성,63.1,-1.8,92.2,16,1,0,0,17,30845361,28439422,2405939,56338000,71,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,본부,강원,-,74,-1.5,97.2,74,3,0,0,77,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,강원,홍천.춘천,70.2,-1.1,89,27,2,0,0,29,23121198,20577866,2543332,36641500,116,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,강원,원주,67.6,-1.6,83.9,16,0,0,0,16,9678402,8120180,1558222,15015125,173,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,강원,강릉,71.4,-1.3,101.9,14,0,0,0,14,19764697,20140226,0,35259500,0,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,강원,속초.고성.양양,71.7,-1.4,99.8,9,0,0,0,9,11899901,11876101,23800,20704500,2,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,강원,철원.화천,82.4,-2,104,8,1,0,0,9,27783854,28895208,0,43833750,0,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,본부,충북,-,68.6,-1.6,95.8,133,3,2,0,138,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,충북,청주,71.2,-0.5,90.4,16,0,1,0,17,22928054,20726961,2201093,36388625,101,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,충북,보은,67.4,-1.9,113.1,13,1,0,0,14,21520647,24339852,0,45140675,0,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,충북,옥천.영동,63.4,-1.5,85.5,29,1,1,0,31,16198700,13849889,2348811,27306563,143,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,충북,진천,61.7,-1.7,97.3,9,0,0,0,9,22490601,21883355,607246,44334188,23,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,충북,괴산.증평,66.2,-2.3,86.5,20,0,0,0,20,20366526,17617045,2749481,33264813,138,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,충북,음성,74.7,-1.7,97,21,1,0,0,22,24425113,23692360,732753,39645850,31,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,충북,충주.제천.단양,75.4,-1.7,97.8,25,0,0,0,25,21020795,20558338,462457,34082125,23,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,본부,충남,-,59.8,-2.1,88.9,181,4,3,1,189,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,충남,천안,70.7,-1.7,91.6,19,0,0,0,19,8873004,8127672,745332,14370000,86,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,충남,공주,67.6,-1.8,102.6,12,0,0,0,12,13851576,14211717,0,26279063,0,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,충남,보령,60,-2.1,85.9,19,0,0,0,19,20712922,17792400,2920522,37067500,131,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,충남,아산,66.5,-0.7,82.5,17,1,0,0,18,20786852,17149153,3637699,32235250,188,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,충남,서산.태안,57.8,-0.9,76.5,29,1,2,0,32,29072516,22240475,6832041,48097913,237,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,충남,논산,53.8,-2.9,82.5,10,0,0,0,10,24931768,20568708,4363060,47789750,152,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,충남,세종.대전.금산,67.5,-1.2,90.9,12,0,0,0,12,11289431,10262093,1027338,19003875,90,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,충남,부여,68.1,-1.6,93.1,10,0,0,0,10,11884584,11064547,820037,20309375,67,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,충남,서천,55.4,-2,86.7,8,0,0,0,8,19845852,17206354,2639498,38823000,113,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,충남,청양,75.4,-1.6,108,17,0,0,1,18,17204255,18580596,0,30803375,0,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,충남,홍성,61.8,-2.2,86.7,9,1,0,0,10,7660563,6641708,1018855,13433875,126,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,충남,예산,53.4,-3.1,93.2,13,0,0,0,13,60519561,56404231,4115330,132032375,52,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,충남,당진,56.3,-1.9,70,6,1,1,0,8,4390194,3073135,1317059,6823125,322,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,본부,전북,-,44,-1.3,68,132,35,21,15,203,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,전북,남원,44.4,-1.5,66.3,10,5,0,4,19,31602956,20952760,10650196,58988625,301,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,전북,순창,49.4,-2.2,81.3,17,6,5,1,29,13180625,10715848,2464777,27115000,152,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,전북,동진,52.8,-0.4,74,6,1,0,0,7,15994761,11836123,4158638,28021125,247,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,전북,부안,47.8,-1.1,69.8,8,2,1,0,11,20202280,14101191,6101089,36875500,276,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,전북,군산,52.5,-0.7,77.3,9,1,0,0,10,16016235,12380550,3635685,29477500,206,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,전북,익산,52.1,-3.2,76.9,9,0,0,0,9,4175859,3211236,964623,7704500,209,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,전북,전주.완주.임실,41.6,-1.2,66.1,21,7,4,5,37,81771503,54050963,27720540,162412750,284,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,전북,고창,40.4,-1.7,58.7,16,4,5,4,29,21114272,12394078,8720194,38348013,379,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,전북,정읍,36.7,-1.4,60.7,5,4,4,0,13,22347035,13564650,8782385,46201125,317,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,전북,무진장,43.7,-1,70.4,31,5,2,1,39,35302790,24853165,10449625,71090288,245,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,본부,전남,-,43.9,-0.9,68,295,82,64,65,506,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,전남,광주,36.2,0,57.1,8,1,2,2,13,3094371,1766886,1327485,6101125,363,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,전남,순천.광양.여수,50.6,-1.6,62.8,20,7,1,0,28,15160421,9520744,5639677,23519625,400,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,전남,나주,52.1,-0.8,91.3,31,3,4,3,41,68757106,62775238,5981868,150612375,66,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,전남,담양,47.8,-1.2,76,10,1,3,1,15,61508398,46746383,14762015,122244725,201,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,전남,곡성,32.8,-1.1,55,7,5,3,12,27,10461208,5753664,4707544,21927075,358,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,전남,구례,44.2,-1.5,58,4,5,3,4,16,11109899,6443741,4666158,18223250,427,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,전남,고흥,40.4,-1.1,55.5,11,11,11,4,37,17285595,9593505,7692090,29682875,432,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,전남,보성,50.7,-1.5,63.8,13,7,1,3,24,19036618,12145362,6891256,29944188,384,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,전남,화순,35.7,-1.2,54.7,9,2,5,7,23,19875828,10872078,9003750,38067500,394,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,전남,장흥,46,-0.9,64.9,12,6,3,4,25,16055276,10419874,5635402,28314875,332,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,전남,강진,50.8,-1.3,74.9,16,5,1,1,23,21069656,15781172,5288484,38831625,227,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,전남,해남.완도,46.5,-1.4,67.2,35,7,8,8,58,27048054,18176292,8871762,48861000,303,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,전남,영암,46.4,-0.3,73.8,24,5,4,3,36,11354155,8379367,2974788,22573725,220,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,전남,목포.무안.신안,45.7,-1.5,67.5,36,6,3,5,50,11033220,7447423,3585797,20370414,293,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,전남,함평,42.7,0.7,67.3,13,2,3,1,19,10122121,6812187,3309934,19942000,277,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,전남,영광,33.4,0.3,52.2,13,4,3,4,24,18302560,9553936,8748624,35755750,408,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,전남,장성,33.6,-0.7,54.4,22,1,3,0,26,75905859,41292787,34613072,153619000,376,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,전남,진도,47.8,-1.7,69.5,11,4,3,3,21,9066594,6301283,2765311,16478250,280,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,본부,경북,-,46.4,-1.2,68.7,199,31,38,65,333,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경북,포항.울릉,32.8,-1.4,48.3,11,7,10,4,32,27791175,13423138,14368037,51155250,468,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경북,경주,25.3,-0.7,37.2,12,4,9,22,47,31696207,11790989,19905218,58255875,569,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경북,안동,51,-0.5,81.5,10,0,2,0,12,5651926,4606320,1045606,11290000,154,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경북,구미.김천,60.1,-1.7,79.8,14,0,0,0,14,14819508,11825967,2993541,24596438,203,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경북,영주.봉화,73,-1.1,108.7,11,0,0,0,11,18210169,19794454,0,33894613,0,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경북,영천,45.5,-0.2,63.1,15,4,2,11,32,15158999,9565329,5593670,26278375,355,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경북,상주,55.7,-2.3,81.8,18,1,0,0,19,20499439,16768541,3730898,37631375,165,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경북,문경,62,-2.4,85.3,6,0,0,0,6,25636673,21868082,3768591,44088875,142,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경북,경산.청도,42.5,-0.6,60.5,19,7,3,4,33,24949783,15094619,9855164,44395938,370,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경북,의성.군위,41.8,-1.2,74.2,20,0,3,7,30,17335175,12862700,4472475,38465013,194,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경북,청송.영양,41,-1,66.5,9,3,3,4,19,12670911,8426156,4244755,25689500,275,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경북,영덕.울진,46.2,-2.2,72.9,19,3,1,5,28,16735174,12199942,4535232,33008500,229,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경북,고령,41.8,-1.8,73.4,1,0,1,5,7,4540482,3332714,1207768,9966250,202,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경북,성주,43.8,-0.8,67,6,0,0,0,6,23772221,15927388,7844833,45454875,288,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경북,칠곡,42.8,-1.4,52.9,10,2,3,2,17,8217163,4346879,3870284,12695325,508,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경북,예천,70.9,-1.2,103.6,10,0,0,0,10,5799832,6008626,0,10593488,0,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경북,달성,49.5,-0.5,69.4,8,0,1,1,10,15218468,10561617,4656851,26670750,291,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,본부,경남,-,36,-1.2,49.9,90,50,57,121,318,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경남,김해.양산.부산,30.7,-1,47.7,1,1,2,1,5,2042097,974080,1068017,3966125,449,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경남,고성.통영.거제,42.2,-1.4,52.5,11,4,6,10,31,17261086,9062070,8199016,26842625,509,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경남,울산,36.5,-1.3,46.3,7,6,5,13,31,10875526,5035368,5840158,17244413,564,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경남,진주.산청,34.1,-1.2,45.5,21,9,8,19,57,28926760,13161676,15765084,48246613,545,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경남,의령,30.4,-1,42,2,4,2,11,19,11720648,4922672,6797976,20241250,560,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경남,함안,31,-1.5,46.1,2,0,2,6,10,4049098,1866634,2182464,7526750,483,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경남,창녕,33.2,-0.7,46.8,5,1,6,8,20,8210899,3842701,4368198,14468000,503,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경남,밀양,27,-1.2,36.1,4,2,2,21,29,12085006,4362687,7722319,20197625,637,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경남,창원,27.8,-1.3,40.2,2,2,1,8,13,9994722,4017878,5976844,18066000,551,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경남,사천,44.4,-1.7,58.4,11,8,2,5,26,15853613,9258510,6595103,26065625,422,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경남,거창.함양,45,-1.8,70.1,9,6,8,2,25,22255292,15600960,6654332,43336000,256,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경남,합천,36.6,-1.3,49.2,7,3,8,9,27,14545376,7156325,7389051,24441000,504,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,경남,하동.남해,33.5,-0.9,48.4,8,4,5,8,25,34930602,16906412,18024190,63083625,476,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,본부,제주,-,52.1,0.2,89.3,8,0,0,2,10,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-06,지사,제주,제주본부직할,52.1,0.2,89.3,8,0,0,2,10,2226940,1988657,238283,4771250,83,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-07,전국,전국,-,49.6,-1.3,73.6,1182,218,186,285,1871,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-07,본부,경기,-,65.3,-1.7,89.8,94,3,0,0,97,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
2026-08-07,지사,경기,여주.이천,67.7,-1.6,90.7,6,0,0,0,6,4689736,4253591,436145,7853750,93,-,-,-,-,-,-,-,-,-,-,-,-
